chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2105856,1.0,1.0,1.0,1.0,1.0,Undefined,Undefined
CHEMBL2105857,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2105861,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2105863,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105866,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105868,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105869,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105870,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2105872,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105875,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105880,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
